,SiteNo,DateFirst,SpeciesCode,ScientificName,Q1.,Q2.,Q3.,Q4.,Q5.,Q6.,Q7.,Q8.,Q9.,Q10.,Q11.,Q12.,Q13.,Q14.,Q15.,Q16.,Q17.,Q18.,Q19.,Q20.,Q21.,Q22.,Q23.,Q24.,Q25.,Q26.,Q27.,Q28.,Q29.,Q30.
41,ABS001,1/08/2022 0:00,5479,Petrophile pulchella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,ABS001,1/08/2022 0:00,2958,Phyllota phylicoides,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43,ABS001,1/08/2022 0:00,PIME,Pimelea spp.,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
44,ABS001,1/08/2022 0:00,1145,Platysace linearifolia,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
45,ABS001,1/08/2022 0:00,POAC,Poaceae indeterminate,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1
46,ABS001,1/08/2022 0:00,POAC,Poaceae indeterminate,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,ABS001,1/08/2022 0:00,POAC,Poaceae indeterminate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0
48,ABS001,1/08/2022 0:00,POAC,Poaceae indeterminate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
49,ABS001,1/08/2022 0:00,2753,Poranthera corymbosa,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,ABS001,1/08/2022 0:00,7395,Poranthera microphylla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0
51,ABS001,1/08/2022 0:00,6403,Pteridium esculentum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0
52,ABS001,1/08/2022 0:00,11386,Pultenaea tuberculata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
53,ABS001,1/08/2022 0:00,3023,Pultenaea villosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
54,ABS001,1/08/2022 0:00,14314,Rytidosperma pallidum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
55,ABS001,1/08/2022 0:00,8181,Schizaea bifida,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
56,ABS001,1/08/2022 0:00,10603,Sporadanthus gracilis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,ABS001,1/08/2022 0:00,1161,Xanthosia dissecta,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,ABS001,1/08/2022 0:00,1162,Xanthosia pilosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
59,ABS002,26/07/2022 0:00,3880,Acacia stricta,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,ABS002,26/07/2022 0:00,3885,Acacia terminalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,ABS002,26/07/2022 0:00,3893,Acacia ulicifolia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,ABS002,26/07/2022 0:00,ACIA,Acianthus spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
63,ABS002,26/07/2022 0:00,1094,Actinotus helianthi,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,ABS002,26/07/2022 0:00,1095,Actinotus minor,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
65,ABS002,26/07/2022 0:00,2012,Allocasuarina littoralis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,ABS002,26/07/2022 0:00,2677,Amperea xiphoclada,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0
67,ABS002,26/07/2022 0:00,5348,Banksia serrata,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,ABS002,26/07/2022 0:00,5349,Banksia spinulosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
69,ABS002,26/07/2022 0:00,5744,Boronia ledifolia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
70,ABS002,26/07/2022 0:00,2780,Bossiaea heterophylla,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,ABS002,26/07/2022 0:00,CASY,Cassytha spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
72,ABS002,26/07/2022 0:00,2341,Caustis flexuosa,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
73,ABS002,26/07/2022 0:00,9136,Conospermum ellipticum,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
74,ABS002,26/07/2022 0:00,9687,Corymbia gummifera,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
75,ABS002,26/07/2022 0:00,CRYP,Cryptandra spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,ABS002,26/07/2022 0:00,CRYT,Cryptostylis spp.,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,ABS002,26/07/2022 0:00,CRYT,Cryptostylis spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
78,ABS002,26/07/2022 0:00,3174,Dampiera stricta,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,ABS002,26/07/2022 0:00,2816,Daviesia acicularis,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,ABS002,26/07/2022 0:00,2821,Daviesia corymbosa,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
81,ABS002,26/07/2022 0:00,2827,Daviesia ulicifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,ABS002,26/07/2022 0:00,3540,Dianella caerulea,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
83,ABS002,26/07/2022 0:00,2850,Dillwynia retorta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
84,ABS002,26/07/2022 0:00,4947,Entolasia stricta,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
85,ABS002,26/07/2022 0:00,4948,Entolasia whiteana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
86,ABS002,26/07/2022 0:00,4156,Eucalyptus piperita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87,ABS002,26/07/2022 0:00,4168,Eucalyptus racemosa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,ABS002,26/07/2022 0:00,4182,Eucalyptus sieberi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,ABS002,26/07/2022 0:00,EUCA,Eucalyptus spp.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
90,ABS002,26/07/2022 0:00,EUCA,Eucalyptus spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
91,ABS002,26/07/2022 0:00,2440,Gahnia microstachya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92,ABS002,26/07/2022 0:00,2864,Gompholobium glabratum,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
93,ABS002,26/07/2022 0:00,2865,Gompholobium grandiflorum,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,ABS002,26/07/2022 0:00,3175,Goodenia bellidifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,ABS002,26/07/2022 0:00,GOOD,Goodenia spp.,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,ABS002,26/07/2022 0:00,5399,Grevillea sericea,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0
97,ABS002,26/07/2022 0:00,3236,Haemodorum planifolium,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,ABS002,26/07/2022 0:00,11254,Hakea laevipes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,ABS002,26/07/2022 0:00,2542,Hibbertia obtusifolia,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,ABS002,26/07/2022 0:00,11015,Hovea heterophylla,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,ABS002,26/07/2022 0:00,2875,Hovea lanceolata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
102,ABS002,26/07/2022 0:00,2877,Hovea longifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
103,ABS002,26/07/2022 0:00,5433,Isopogon anemonifolius,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
104,ABS002,26/07/2022 0:00,5440,Lambertia formosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
105,ABS002,26/07/2022 0:00,3556,Laxmannia gracilis,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,ABS002,26/07/2022 0:00,6402,Lepidosperma laterale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
107,ABS002,26/07/2022 0:00,4213,Leptospermum arachnoides,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,ABS002,26/07/2022 0:00,8486,Leptospermum trinervium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
109,ABS002,26/07/2022 0:00,2624,Leucopogon lanceolatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
110,ABS002,26/07/2022 0:00,6400,Lomandra filiformis,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1
111,ABS002,26/07/2022 0:00,6304,Lomandra glauca,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
112,ABS002,26/07/2022 0:00,6308,Lomandra longifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
113,ABS002,26/07/2022 0:00,6311,Lomandra multiflora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
114,ABS002,26/07/2022 0:00,6312,Lomandra obliqua,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
115,ABS002,26/07/2022 0:00,5445,Lomatia silaifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
116,ABS002,26/07/2022 0:00,5037,Microlaena stipoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
117,ABS002,26/07/2022 0:00,3595,Mitrasacme polymorpha,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
118,ABS002,26/07/2022 0:00,2649,Monotoca scoparia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0
119,ABS002,26/07/2022 0:00,ORCHC,Orchidaceae indeterminate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
120,ABS002,26/07/2022 0:00,ORCHC,Orchidaceae indeterminate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
121,ABS002,26/07/2022 0:00,ORCHC,Orchidaceae indeterminate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
122,ABS002,26/07/2022 0:00,3301,Patersonia glabrata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
123,ABS002,26/07/2022 0:00,3303,Patersonia sericea,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
124,ABS002,26/07/2022 0:00,PATE,Patersonia spp.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,ABS002,26/07/2022 0:00,5462,Persoonia levis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
126,ABS002,26/07/2022 0:00,5479,Petrophile pulchella,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,ABS002,26/07/2022 0:00,10586,Philotheca hispidula,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0
128,ABS002,26/07/2022 0:00,PHYL,Phyllanthus spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
129,ABS002,26/07/2022 0:00,2958,Phyllota phylicoides,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0
130,ABS002,26/07/2022 0:00,6182,Pimelea linifolia,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
131,ABS002,26/07/2022 0:00,1145,Platysace linearifolia,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1
132,ABS002,26/07/2022 0:00,POAC,Poaceae indeterminate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
133,ABS002,26/07/2022 0:00,2754,Poranthera ericifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
134,ABS002,26/07/2022 0:00,7395,Poranthera microphylla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
135,ABS002,26/07/2022 0:00,6403,Pteridium esculentum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
136,ABS002,26/07/2022 0:00,11386,Pultenaea tuberculata,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,ABS002,26/07/2022 0:00,14314,Rytidosperma pallidum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
138,ABS002,26/07/2022 0:00,8181,Schizaea bifida,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,ABS002,26/07/2022 0:00,6022,Smilax glyciphylla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140,ABS002,26/07/2022 0:00,6159,Stylidium lineare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
141,ABS002,26/07/2022 0:00,3569,Stypandra glauca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
142,ABS002,26/07/2022 0:00,3574,Thysanotus tuberosus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,ABS002,26/07/2022 0:00,,Unknown,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,ABS002,26/07/2022 0:00,,Unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,ABS002,26/07/2022 0:00,11239,Xanthosia stellata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
146,ABS003,4/08/2022 0:00,3885,Acacia terminalis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
147,ABS003,4/08/2022 0:00,3893,Acacia ulicifolia,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,ABS003,4/08/2022 0:00,ACIA,Acianthus spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
