"Genus","SH_ID","Reference","Kingdom","Phylum","Class","Order","Family","Species","guid","mbNumber","taxonomicLevel","trophicMode","guild","confidenceRanking","growthForm","trait","notes","citationSource","guild2","exploration_type","Ecm_lineage"
"Arcangeliella","SH1176144.09FU","refs","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Arcangeliella_claridgei","1CB17DEF-36B9-11D5-9548-00D0592D548C","19020","Genus","Symbiotroph","mycorrhizal","Highly Probable","Gasteroid","Hypogeous","Common name - false truffle","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","Ectomycorrhizal","contact","/russula-lactarius"
"Archaeospora","SH0979606.09FU","reps","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae",NA,"CA67A110-84C8-46F7-A0F6-5E6FCFA33B30","28457","Genus","Symbiotroph","mycorrhizal","Highly Probable","Microfungus","NULL","As root_endophyte (Põlme et al. 2020)","Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))","Arbuscular Mycorrhizal","unknown","unknown"
"Astraeus","SH1306123.09FU","refs","Fungi","Basidiomycota","Agaricomycetes","Boletales","Astraeaceae","Astraeus_pteridis","1CB1C4D0-36B9-11D5-9548-00D0592D548C","19026","Genus","Symbiotroph","mycorrhizal","Highly Probable","Gasteroid","NULL","Common name - earthstar","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","Ectomycorrhizal","long-distance","/pisolithus-scleroderma"
"Auritella","SH1263314.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Auritella_arenicolens","5E37166B-919C-48F5-969B-DEC4FE3920E6","501456","Genus","Symbiotroph","mycorrhizal","Highly Probable","Agaricoid","NULL","Known only from the wet tropics of west Africa and temperate parts of Australia, and probably associated with genera within Fabaceae and Myrtaceae (Matheny 2009).","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Matheny PB. 2009. McIlvainea 18:11-21 ((https://namyco.org/docs/3_Matheny.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","Ectomycorrhizal","contact","/inocybe"
"Austrogautieria","SH1522314.09FU","refs_singleton","Fungi","Basidiomycota","Agaricomycetes","Gomphales","Gomphaceae","Austrogautieria_costata","1CB17F06-36B9-11D5-9548-00D0592D548C","25707","Genus","Symbiotroph","mycorrhizal","Highly Probable","Gasteroid","Hypogeous","Common name - false truffle","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","Ectomycorrhizal","mat","/hysterangium"
"Boletus","SH1109146.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae",NA,"12576929-F6BD-4895-ABBE-628F01103F69","17175","Genus","Pathotroph-Symbiotroph","mycorrhizal","Highly Probable","Agaricoid-Boletoid","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)); List compiled by John Plischke III ((https://goodmushroom.weebly.com/uploads/5/7/1/7/57176535/fungi_on_fungi_pdf_lq.pdf))","Ectomycorrhizal","long-distance","/boletus"
"Boletus","SH1325804.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae",NA,"12576929-F6BD-4895-ABBE-628F01103F69","17175","Genus","Pathotroph-Symbiotroph","mycorrhizal","Highly Probable","Agaricoid-Boletoid","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)); List compiled by John Plischke III ((https://goodmushroom.weebly.com/uploads/5/7/1/7/57176535/fungi_on_fungi_pdf_lq.pdf))","Ectomycorrhizal","long-distance","/boletus"
"Boletus","SH1170854.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae",NA,"12576929-F6BD-4895-ABBE-628F01103F69","17175","Genus","Pathotroph-Symbiotroph","mycorrhizal","Highly Probable","Agaricoid-Boletoid","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)); List compiled by John Plischke III ((https://goodmushroom.weebly.com/uploads/5/7/1/7/57176535/fungi_on_fungi_pdf_lq.pdf))","Ectomycorrhizal","long-distance","/boletus"
"Cantharellus","SH1122084.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae",NA,"1CB18081-36B9-11D5-9548-00D0592D548C","17236","Genus","Symbiotroph","mycorrhizal","Highly Probable","Agaricoid-Cantherelloid","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))","Ectomycorrhizal","medium-distance_smooth","/cantharellus"
"Cantharellus","SH1122090.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae",NA,"1CB18081-36B9-11D5-9548-00D0592D548C","17236","Genus","Symbiotroph","mycorrhizal","Highly Probable","Agaricoid-Cantherelloid","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))","Ectomycorrhizal","medium-distance_smooth","/cantharellus"
"Cenococcum","SH0990696.09FU","reps","Fungi","Ascomycota","Dothideomycetes","Gloniales","Gloniaceae",NA,"1CB1C5FD-36B9-11D5-9548-00D0592D548C","7516","Genus","Symbiotroph","mycorrhizal","Highly Probable","Microfungus","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))","Ectomycorrhizal","short-distance_coarse","/cenococcum"
"Chondrogaster","SH1161682.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Hysterangiales","Hysterangiaceae",NA,"1CB18278-36B9-11D5-9548-00D0592D548C","19065","Genus","Symbiotroph","mycorrhizal","Highly Probable","Gasteroid","Hypogeous","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","Ectomycorrhizal","mat","/hysterangium"
"Chondrogaster","SH1147445.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Hysterangiales","Hysterangiaceae",NA,"1CB18278-36B9-11D5-9548-00D0592D548C","19065","Genus","Symbiotroph","mycorrhizal","Highly Probable","Gasteroid","Hypogeous","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","Ectomycorrhizal","mat","/hysterangium"
"Chondrogaster","SH1187686.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Hysterangiales","Hysterangiaceae",NA,"1CB18278-36B9-11D5-9548-00D0592D548C","19065","Genus","Symbiotroph","mycorrhizal","Highly Probable","Gasteroid","Hypogeous","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","Ectomycorrhizal","mat","/hysterangium"
"Chondrogaster","SH1166603.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Hysterangiales","Hysterangiaceae",NA,"1CB18278-36B9-11D5-9548-00D0592D548C","19065","Genus","Symbiotroph","mycorrhizal","Highly Probable","Gasteroid","Hypogeous","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","Ectomycorrhizal","mat","/hysterangium"
"Chondrogaster","SH1148002.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Hysterangiales","Hysterangiaceae",NA,"1CB18278-36B9-11D5-9548-00D0592D548C","19065","Genus","Symbiotroph","mycorrhizal","Highly Probable","Gasteroid","Hypogeous","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","Ectomycorrhizal","mat","/hysterangium"
"Chondrogaster","SH1211825.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Hysterangiales","Hysterangiaceae",NA,"1CB18278-36B9-11D5-9548-00D0592D548C","19065","Genus","Symbiotroph","mycorrhizal","Highly Probable","Gasteroid","Hypogeous","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","Ectomycorrhizal","mat","/hysterangium"
"Chondrogaster","SH1211070.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Hysterangiales","Hysterangiaceae",NA,"1CB18278-36B9-11D5-9548-00D0592D548C","19065","Genus","Symbiotroph","mycorrhizal","Highly Probable","Gasteroid","Hypogeous","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","Ectomycorrhizal","mat","/hysterangium"
"Chondrogaster","SH1147444.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Hysterangiales","Hysterangiaceae",NA,"1CB18278-36B9-11D5-9548-00D0592D548C","19065","Genus","Symbiotroph","mycorrhizal","Highly Probable","Gasteroid","Hypogeous","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","Ectomycorrhizal","mat","/hysterangium"
"Clavulina","SH1275972.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae",NA,"1CB1837C-36B9-11D5-9548-00D0592D548C","17322","Genus","Symbiotroph","mycorrhizal","Highly Probable","Clavarioid","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))","Ectomycorrhizal","contact","/clavulina"
"Clavulina","SH1275915.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae",NA,"1CB1837C-36B9-11D5-9548-00D0592D548C","17322","Genus","Symbiotroph","mycorrhizal","Highly Probable","Clavarioid","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))","Ectomycorrhizal","contact","/clavulina"
"Clavulina","SH1202307.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae",NA,"1CB1837C-36B9-11D5-9548-00D0592D548C","17322","Genus","Symbiotroph","mycorrhizal","Highly Probable","Clavarioid","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))","Ectomycorrhizal","contact","/clavulina"
"Clavulina","SH1202337.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae",NA,"1CB1837C-36B9-11D5-9548-00D0592D548C","17322","Genus","Symbiotroph","mycorrhizal","Highly Probable","Clavarioid","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))","Ectomycorrhizal","contact","/clavulina"
"Clavulina","SH1275909.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae",NA,"1CB1837C-36B9-11D5-9548-00D0592D548C","17322","Genus","Symbiotroph","mycorrhizal","Highly Probable","Clavarioid","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))","Ectomycorrhizal","contact","/clavulina"
"Clavulina","SH1202237.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae",NA,"1CB1837C-36B9-11D5-9548-00D0592D548C","17322","Genus","Symbiotroph","mycorrhizal","Highly Probable","Clavarioid","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))","Ectomycorrhizal","contact","/clavulina"
"Clavulina","SH1202359.09FU","reps","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae",NA,"1CB1837C-36B9-11D5-9548-00D0592D548C","17322","Genus","Symbiotroph","mycorrhizal","Highly Probable","Clavarioid","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))","Ectomycorrhizal","contact","/clavulina"
