"pH","Site","Transect","Location","Ammonia_mg_kg","Nitrate_mg_kg","Ortho_P_mg_kg"
5.29,"5","1","16.1",0.0100655056718326,0.00611119987218406,0.00173749800287586
5.34,"5","1","3",0.00932469935245144,0.00932469935245144,0.0357446808510638
5.07,"26","1","47",0.167442539929879,0.00014608492403584,0.0332489287105571
5.33,"26","1","33",0.398921383298121,0.00934059824307795,0.0305237406872012
5.47,"26","1","16",0.0357001190003967,0.00493851646172154,0.0466481554938516
5.3,"26","1","3",0.0509673808762392,0.0100735529261273,0.0416133674448353
5.31,"12","1","47",0.0892669628432956,0.00209006462035541,0.0193255250403877
5.31,"12","1","33",0.367234685073339,0.0454270923209664,0.056816220880069
5.45,"12","1","16",0.053156049094097,0.00981881940385739,0.0259497369959088
4.52,"12","1","3",0.00974854932301741,0.00974854932301741,0.0559381044487427
5.33,"12","2","16",0.193036820998906,0.010207801676996,0.0406489245351805
4.83,"12","2","3",0.086139896373057,0.0304095731556871,0.00444115470022206
5.5,"12","2","33",0.2406248738546,0.00968796673798087,0.0386913171598111
5.23,"12","2","47",0.00853906999041227,0.0100671140939597,0.0263063279002876
5.21,"11","1","47",0.00260822314798044,0.00912878101793154,0.0135301575801485
5.09,"11","1","16",0.174623462760813,0.0174105292248169,0.019586845377919
5.01,"11","1","33",0.0969188767550702,0.00415088032092712,0.0350456875417874
5.23,"11","1","3",0.00910371735125176,0.00566272894765363,0.0378779668364582
5.04,"11","2","3",0.0404022655862411,0.0104183892839424,0.0312551678518274
5.14,"11","2","33",0.193341763800308,0.00923685946778095,0.030734550252914
5.04,"11","2","47",0.00909878682842288,0.00909878682842288,0.00698656845753899
5.59,"11","2","16",0.037049672489083,0.17127797489083,0.00757368995633188
4.77,"10","2","3",0.0625563205132826,0.00908337238222254,0.0315755325667736
5.42,"10","2","33",0.438579041500894,0.0321385553162755,0.0371756031682301
5.31,"10","2","47",0.220744367111006,0.00990916597853014,0.0589241476937596
5.23,"10","2","16",0.332670525157121,0.128093597983169,0.0217839008628342
5.68,"5","2","33",0.0959602161100196,0.0103143418467584,0.0352406679764244
5.47,"5","2","47",0.00818539385563942,0.0734559370681407,0.0358243860954608
5.23,"5","2","3",0.681325233853837,0.0669977266798345,0.0494167629411546
5.26,"5","2","16",0.016141889198884,0.00352730171383021,0.0638501394978079
5.42,"10","1","47",0.00533519553072626,0.00756983240223464,0.0309497206703911
5.27,"10","1","16",0.578559572113611,0.0778218369605312,0.0378458133530063
4.89,"10","1","33",0.0162837667255743,0.029916687705125,0.0321257258268114
5.17,"10","1","3",0.198856986100951,0.00921726408193124,0.0287490855888808
5.35,"7","1","16",0.0697298563397876,0.00787008119925047,0.0535915053091818
5.18,"7","1","33",0.446314046706169,0.00878354827466016,0.00376437783199721
4.79,"7","1","47",0.51389911634757,0.0185567010309278,0.0462812960235641
4.83,"7","1","3",1.92528985507246,0.0243478260869565,0.068695652173913
5.45,"7","2","47",0.830383096072147,0.0967615711410897,0.11118357307893
5.22,"7","2","3",0.00904230507014963,0.00939215615917327,0.0290107287667301
5.37,"7","2","16",0.0354423292273236,0.0129619260918253,0.00403135498320269
5.25,"7","2","33",0.141828563220455,0.0807178511150214,0.0314576076417568
5.48,"8","1","33",0.00909025322848279,0.00909025322848279,0.0315994516990116
5.51,"8","1","47",0.00949903878774172,0.00949903878774172,0.056768065136266
5.49,"8","1","16",1.76792141571686,0.0649557588482303,0.0611877624475105
5.35,"8","1","3",0.00999961241812333,0.019621332506492,0.0441261966590442
5.25,"8","2","3",0.401573453215483,0.0192014629686071,0.0633191100274307
5.21,"8","2","16",0.480703861075189,0.0086181415111768,0.0284869757990024
5.25,"8","2","47",0.366431641655984,0.0190030917728678,0.0530502978659226
5.17,"8","2","33",0.00909090909090909,0.00227272727272727,0.0313311688311688
