"","Tube_ID","Site","Transect","Location","harvest_date","Res_nute_sub_w","Res_remain_w","notes","roots_in_sample","Damage","Missing","Before_root.hyphae","dirt_in_sample","mass_loss"
"24","31","49","2","16",2024-03-06,1.04,18.124,"could have been out of ground | NA","NA | NA","NA | moderate","NA | NA","y",NA,"y"
"25","32","49","1","33",2024-03-06,1.01,27.4,"NA | NA","NA | NA","NA | minor","NA | NA","y",NA,"y"
"26","33","31","2","16",2024-03-06,1,26.1,"NA | NA","NA | NA","NA | NA","NA | NA","y","y",NA
"27","34","56","1","33",2024-03-06,1,26.24,"NA | NA","NA | NA","NA | minor","NA | NA","y",NA,"y"
"28","35","34","2","3",2024-03-08,1.01,26.56,"NA | NA","NA | NA","NA | NA","NA | NA","y",NA,NA
"29","36","34","2","47",2024-03-08,1.04,25.93,"NA | NA","NA | NA","NA | minor","NA | NA","y",NA,NA
"30","37","7","1","47",2024-03-08,0.98,13.58,"NA | NA","NA | NA","NA | NA","NA | y","y",NA,NA
"31","38","7","1","3",2024-03-08,1.03,10.35,"NA | NA","NA | NA","NA | extreme","NA | y","y",NA,NA
"32","39","49","1","47",2024-03-06,1.05,11.19,"NA | NA","NA | NA","NA | out of ground","NA | y","y",NA,NA
"33","4","31","2","47",2024-03-06,1.015,27.4,"NA | NA","NA | NA","NA | NA","NA | NA","y",NA,NA
"34","40","10","1","16",2024-03-06,1.01,27.11,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"35","41","10","1","33",2024-03-06,1,23.766,"subsample taken to ID rhizomorph | NA","NA | NA","NA | moderate","NA | NA",NA,NA,NA
"36","42","10","1","47",2024-03-06,1.01,26.85,"NA | NA","NA | NA","NA | minor","NA | NA",NA,NA,NA
"37","43","10","1","3",2024-03-06,1.04,27.34,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"38","44","7","2","33",2024-03-08,1.038,27.847,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"39","45","12","1","47",2024-03-08,0.987,24.76,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"40","46","26","1","47",2024-03-06,1,25.67,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"41","47","12","1","33",2024-03-08,1.03,11.59,"NA | NA","NA | NA","NA | NA","NA | y",NA,NA,NA
"42","48","12","1","16",2024-03-08,0.99,25.665,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"43","49","12","1","3",2024-03-08,0.997,25.85,"in nute subsample large chunk of hyphae | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"44","5","31","1","33",2024-03-06,1.01,26.57,"NA | NA","NA | NA","minor | NA","NA | NA","y",NA,NA
"45","50","26","1","33",2024-03-06,0.99,26.979,"NA | NA","NA | NA","NA | minor","NA | NA","y",NA,"y"
"46","51","26","1","3",2024-03-06,1.01,25.016,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"47","52","7","2","16",2024-03-08,0.983,26.79,"NA | NA","y | NA","NA | minor","NA | NA",NA,NA,NA
"48","53","26","1","16",2024-03-06,1.03,25.21,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"49","54","12","2","3",2024-03-08,1.027,24.318,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"50","55","8","1","33",2024-03-08,1.027,27.722,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"51","56","8","2","16",2024-03-08,1.0245,27.065,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"52","57","26","2","33",2024-03-06,1.013,26.296,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"53","58","56","2","16",2024-03-06,1.01,25.55,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"54","59","12","2","16",2024-03-08,1.064,24.687,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"55","6","29","2","3",2024-03-05,0.97,13.14,"NA | NA","NA | NA","NA | NA","NA | y","y","y",NA
"56","60","56","2","3",2024-03-06,1.04,25.472,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"57","61","56","2","33",2024-03-06,1.034,24.649,"NA | NA","NA | NA","NA | moderate","NA | NA",NA,NA,NA
"58","62","8","2","33",2024-03-08,1.031,27.72,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"59","63","8","1","47",2024-03-08,1.031,26.529,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"60","64","8","2","3",2024-03-08,1.077,13.124,"NA | out of ground","NA | NA","NA | NA","NA | y",NA,NA,NA
"61","65","8","1","3",2024-03-08,1.032,25.801,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"62","66","26","2","47",2024-03-06,1.038,26.343,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"63","67","12","2","47",2024-03-08,1.021,25.032,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"64","68","12","2","33",2024-03-08,0.988,24.773,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"65","69","56","2","47",2024-03-06,0.944,26.685,"NA | NA","NA | y","NA | extreme","NA | NA",NA,NA,NA
"66","7","29","1","47",2024-03-05,1.02,26.57,"NA | NA","NA | NA","NA | minor","NA | NA","y",NA,NA
"67","70","8","1","16",2024-03-08,1.062,13.336,"15 in field 16 in sheets | lost","NA | NA","NA | NA","NA | y",NA,NA,NA
"68","71","8","2","47",2024-03-08,0.956,13.261,"NA | NA","NA | NA","NA | NA","NA | y",NA,NA,NA
"69","72","5","2","47",2024-03-09,1.03,28.221,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"70","73","5","1","3",2024-03-09,1.046,27.025,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"71","74","10","2","16",2024-03-08,1.037,28.163,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"72","75","26","2","16",2024-03-06,0.999,26.792,"changed location from 17 to 16 | changed location from 17 to 17","NA | NA","NA | NA","NA | NA",NA,NA,NA
"73","76","11","1","47",2024-03-08,0.962,27.605,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"74","77","7","2","3",2024-03-08,0.945,27.869,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"75","78","5","2","33",2024-03-09,0.96,24.432,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"76","79","7","2","47",2024-03-08,0.99,26.834,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"77","8","29","2","16",2024-03-05,1.01,12.75,"NA","y","NA","NA","y",NA,NA
"78","80","5","2","3",2024-03-09,1.038,26.833,"NA | NA","NA | NA","NA | topless","NA | NA",NA,NA,NA
"79","81","26","2","3",2024-03-06,0.983,26.22,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"80","82","11","1","33",2024-03-08,1.032,26.922,"NA | NA","NA | NA","NA | minor","NA | NA",NA,NA,NA
"81","83","10","2","33",2024-03-08,0.986,27.397,"NA | NA","NA | NA","minor | NA","NA | NA",NA,NA,NA
"82","85","11","2","47",2024-03-08,1.011,27.696,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"83","86","10","2","3",2024-03-08,0.98,27.743,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"84","87","11","2","16",2024-03-08,1,14.656,"NA","NA","NA","NA",NA,NA,NA
"85","88","11","1","16",2024-03-08,1,14.474,"NA","NA","minor","NA",NA,NA,NA
"86","89","5","2","16",2024-03-09,1.07,12.545,"NA | out of ground","NA | NA","NA | NA","NA | y",NA,NA,NA
"87","9","29","2","47",2024-03-05,1.04,13.36,"NA | NA","y | NA","NA | extreme","NA | y","y","y",NA
"88","90","11","1","3",2024-03-08,1.071,27.681,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"89","91","5","1","47",2024-03-09,0.99,26.218,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"90","92","10","2","47",2024-03-08,1.026,25.431,"NA | NA","NA | NA","NA | minor","NA | NA",NA,"y",NA
"91","93","5","1","16.1",2024-03-09,1.04,25.036,"NA | NA","NA | NA","NA | major","NA | NA",NA,"y",NA
"92","94","5","1","16.2",2024-03-09,0.987,24.85,"NA | NA","NA | NA","NA | moderate","NA | NA",NA,NA,NA
"93","95","11","2","3",2024-03-08,0.95,24.188,"NA | NA","NA | NA","NA | topless","NA | NA",NA,NA,NA
"94","96","11","2","33",2024-03-08,1.002,27.282,"NA | NA","NA | NA","NA | NA","NA | NA",NA,NA,NA
"95","NA","29","1","33",2024-03-05,1.01,13.62,"Marked with -- in notes | not usable","NA | NA","minor | extreme","NA | y","y",NA,"y"
"96","NA","56","1","16",2024-03-06,1.01,22.02,"Both bags out of ground, pooled A and B to one | NA","NA | NA","NA | NA","NA | y","y",NA,NA
