"OTU","kingdom","phylum","class","order","family","genus","species","n","score","SH_species","SH_gb_acc","SH_sh_acc","SH_type","identity","coverage","trophicMode","guild"
"ITSall_OTUj_1569","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA,19,1,"Chaetothyriales_sp","AY230779","SH1186394.08FU","reps_singleton",0.869047619047619,0.958333333333333,NA,NA
"ITSall_OTUj_7430","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA,15,0.833333333333333,"Leotiomycetes_sp","HM208717","SH1509554.08FU","reps",0.938356164383562,0.986301369863014,NA,NA
"ITSall_OTUh_460","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,15,1,"Penicillium_brasilianum","GU981577","SH1692792.08FU","refs",1,1,NA,NA
"ITSall_OTUa_15","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","Saitozyma_podzolica",1,1,"Saitozyma_podzolica","AF444321","SH1565595.08FU","refs",1,1,NA,NA
"ITSall_OTUb_2838","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Zopfiaceae","Didymocrea",NA,1,1,"Pseudocamarosporium_ulmi-minoris","MG828951","SH1889072.08FU","refs_singleton",0.948387096774194,0.980645161290323,NA,NA
"ITSall_OTUj_28052","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis",NA,NA,2,1,"Leohumicola_sp","EU520631","SH1155845.08FU","reps_singleton",0.944055944055944,1,NA,NA
"ITSall_OTUj_1194","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA,1,1,"Leotiomycetes_sp","UDB0688480","SH2730122.08FU","reps",0.906040268456376,0.979865771812081,NA,NA
"ITSall_OTUe_6099","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Naganishia",NA,16,0.941176470588235,"Naganishia_liquefaciens","AF444345","SH2268664.08FU","refs",0.990867579908676,1,NA,NA
"ITSall_OTUb_81","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_jensenii",1,1,"Penicillium_jensenii","AY443470","SH2189915.08FU","refs",1,1,NA,NA
"ITSall_OTUb_3821","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium",NA,17,0.566666666666667,"Chaetomiaceae_sp","MK018201","SH1615895.08FU","reps",1,1,NA,NA
"ITSall_OTUb_229","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_griseolum",1,1,"Penicillium_griseolum","EF422848","SH1530016.08FU","refs",1,1,NA,NA
"ITSall_OTUa_1637","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA,16,1,"Cladosporium_halotolerans","DQ780364","SH1966692.08FU","refs",1,1,NA,NA
"ITSall_OTUa_6698","Fungi","Ascomycota","Dothideomycetes","Dothideales","Aureobasidiaceae",NA,NA,10,0.909090909090909,"Dothioraceae_sp","KT693407","SH1525598.08FU","reps",0.929936305732484,0.961783439490446,NA,NA
"ITSall_OTUa_961","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","Solicoccozyma_phenolica",1,1,"Solicoccozyma_phenolica","AF444351","SH2574337.08FU","refs",1,1,NA,NA
"ITSall_OTUj_778","Fungi","Mucoromycota","Endogonomycetes",NA,NA,NA,NA,14,0.875,"GS22_sp","UDB0670155","SH2721672.08FU","reps",0.929133858267717,0.996062992125984,NA,NA
"ITSall_OTUa_259","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis",NA,NA,26,0.742857142857143,"Cadophora_sp","UDB0250627","SH2747791.08FU","reps",0.986394557823129,1,NA,NA
"ITSall_OTUa_5427","Fungi","Ascomycota","Leotiomycetes",NA,NA,NA,NA,15,0.882352941176471,"Helotiales_sp","UDB066184","SH1509605.08FU","reps",0.855172413793103,0.924137931034483,NA,NA
"ITSall_OTUj_10932","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA,22,0.758620689655172,"Leotiomycetes_sp","KR004890","SH1509526.08FU","reps",0.96551724137931,1,NA,NA
"ITSall_OTUb_7319","Fungi","Ascomycota","Dothideomycetes","Mytilinidales","Gloniaceae",NA,NA,12,1,"Gloniaceae_sp","AY561221","SH1639596.08FU","refs",0.945578231292517,0.972789115646258,NA,NA
"ITSall_OTUc_84","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA,22,1,"Tremellaceae_sp","LT904718","SH2699587.08FU","reps",1,1,NA,NA
"ITSall_OTUf_2165","Fungi","Mucoromycota","Endogonomycetes",NA,NA,NA,NA,16,0.888888888888889,"GS22_sp","UDB0670155","SH2721672.08FU","reps",0.96,0.996,NA,NA
"ITSall_OTUj_20083","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Samsoniella","Samsoniella_hepiali",1,1,"Samsoniella_hepiali","KF757339","SH1524424.08FU","refs",1,1,NA,NA
"ITSall_OTUa_703","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,25,0.892857142857143,"Pleosporales_sp","UDB0729335","SH1527195.08FU","reps",0.876623376623377,0.941558441558442,NA,NA
"ITSall_OTUa_410","Fungi","Basidiomycota","Agaricomycetes","Trechisporales",NA,NA,NA,18,1,"Trechispora_sp","UDB0147417","SH1555567.08FU","reps",0.894230769230769,0.985576923076923,NA,NA
"ITSall_OTUa_168","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Phanerochaetaceae",NA,NA,2,1,"Phanerochaete_sp","UDB013346","SH1191555.08FU","reps_singleton",0.919047619047619,1,NA,NA
"ITSall_OTUa_3045","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA,3,1,"Capnodiales_sp","KC222791","SH1152179.08FU","reps_singleton",0.993464052287582,1,NA,NA
"ITSall_OTUa_1053","Fungi","Ascomycota","Dothideomycetes","Dothideales",NA,NA,NA,3,0.75,"Dothideales_sp","KY597580","SH1515077.08FU","reps",0.740740740740741,0.740740740740741,NA,NA
"ITSall_OTUa_3659","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,5,1,"Ascomycota_sp","FJ224107","SH1551389.08FU","reps",0.916129032258065,0.974193548387097,NA,NA
"ITSall_OTUa_740","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales_fam_Incertae_sedis","Robillarda",NA,1,1,"Robillarda_sp","KR093846","SH1237199.08FU","reps_singleton",1,1,NA,NA
"ITSall_OTUj_5763","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Neodevriesiaceae",NA,NA,3,1,"Neodevriesia_capensis","KJ406771","SH1549743.08FU","reps",0.928571428571429,0.980519480519481,NA,NA
"ITSall_OTUa_662","Fungi","Ascomycota","Eurotiomycetes","Eurotiales",NA,NA,NA,2,1,"Eurotiales_sp","UDB0756294","SH1564665.08FU","reps",0.899408284023669,0.958579881656805,NA,NA
"ITSall_OTUb_109","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae",NA,NA,15,1,"Chaetomiaceae_sp","MN559723","SH1615623.08FU","reps",0.99375,0.99375,NA,NA
"ITSall_OTUa_65","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae",NA,NA,42,1,"Chaetomium_acropullum","JX280763","SH1615604.08FU","refs",0.986842105263158,0.993421052631579,NA,NA
"ITSall_OTUa_4189","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,50,1,"Penicillium_simplicissimum","GU981588","SH2190251.08FU","refs",1,1,NA,NA
"ITSall_OTUb_7648","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA,1,1,"Sordariales_sp","JN889880","SH1244293.08FU","reps_singleton",0.878787878787879,0.939393939393939,NA,NA
"ITSall_OTUa_922","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA,2,0.666666666666667,"Pleosporales_sp","JN572053","SH1178104.08FU","reps_singleton",0.76158940397351,0.966887417218543,NA,NA
"ITSall_OTUb_6076","Fungi","Ascomycota","Dothideomycetes","Capnodiales",NA,NA,NA,14,0.875,"Capnodiales_sp","KF436353","SH1154610.08FU","reps_singleton",0.948387096774194,0.987096774193548,NA,NA
"ITSall_OTUb_2706","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA,2,1,"Herpotrichiellaceae_sp","EF373584","SH1507107.08FU","reps",0.872611464968153,0.929936305732484,NA,NA
"ITSall_OTUa_1333","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae",NA,NA,1,1,"Eurotiales_sp","AB986366","SH1564669.08FU","reps",0.952095808383233,0.988023952095808,NA,NA
"ITSall_OTUd_4630","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Dimorphiseta","Dimorphiseta_terrestris",1,1,"Dimorphiseta_terrestris","KU846314","SH1730043.08FU","refs_singleton",0.994413407821229,1,NA,NA
"ITSall_OTUj_9984","Fungi","Ascomycota","Dothideomycetes","Myriangiales","Myriangiales_fam_Incertae_sedis",NA,NA,1,1,"Ascomycota_sp","GQ999160","SH1546762.08FU","reps",1,1,NA,NA
"ITSall_OTUa_1045","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae",NA,NA,1,1,"Tremellales_sp","DQ420869","SH1565599.08FU","refs",1,1,NA,NA
"ITSall_OTUa_4376","Fungi","Basidiomycota","Agaricomycetes","Geastrales","Sphaerobolaceae",NA,NA,1,1,"Sphaerobolus_stellatus","AY805626","SH1517656.08FU","reps",0.927350427350427,0.978632478632479,NA,NA
"ITSall_OTUa_3243","Fungi","Ascomycota","Dothideomycetes","Capnodiales",NA,NA,NA,5,1,"Capnodiales_sp","UDB0416038","SH2725748.08FU","reps",0.849624060150376,1,NA,NA
"ITSall_OTUa_3570","Fungi","Ascomycota","Sordariomycetes","Xylariales","Microdochiaceae","Selenodriella",NA,1,1,"Microdochiaceae_sp","KJ476968","SH1555482.08FU","reps",0.980263157894737,0.980263157894737,NA,NA
"ITSall_OTUb_8688","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis",NA,NA,1,1,"Rotiferophthora_angustispora","AJ292412","SH1245306.08FU","reps_singleton",0.917525773195876,0.989690721649485,NA,NA
"ITSall_OTUb_2691","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,46,1,"Penicillium_annulatum","JX091426","SH1896001.08FU","refs",0.99390243902439,1,NA,NA
"ITSall_OTUk_190","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA,2,0.666666666666667,"Dothideomycetes_sp","AY518669","SH1242055.08FU","reps_singleton",0.947712418300654,1,NA,NA
"ITSall_OTUa_857","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae",NA,NA,1,1,"Chaetothyriales_sp","KT328794","SH1180848.08FU","reps_singleton",0.94578313253012,0.987951807228916,NA,NA
"ITSall_OTUa_1790","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Alfaria",NA,6,0.75,"Alfaria_terrestris","KU845988","SH1557979.08FU","refs",0.976470588235294,1,NA,NA
"ITSall_OTUa_641","Fungi","Ascomycota","Sordariomycetes","Xylariales","Microdochiaceae","Microdochium","Microdochium_fisheri",1,1,"Microdochium_fisheri","KP859015","SH1555462.08FU","refs",0.987654320987654,1,NA,NA
"ITSall_OTUc_1444","Fungi","Ascomycota","Dothideomycetes","Dothideales",NA,NA,NA,7,0.875,"Hormonema_sp","FR668023","SH1515085.08FU","reps",0.685185185185185,0.703703703703704,NA,NA
"ITSall_OTUa_685","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae",NA,NA,1,1,"Tremellomycetes_sp","DQ054542","SH1186249.08FU","reps_singleton",0.968152866242038,1,NA,NA
"ITSall_OTUf_3560","Fungi","Ascomycota","Eurotiomycetes","Eurotiales",NA,NA,NA,1,1,"Eurotiales_sp","UDB0179593","SH2730133.08FU","reps",0.852941176470588,0.935294117647059,NA,NA
"ITSall_OTUa_1935","Fungi","Mucoromycota","Mucoromycetes","Mucorales",NA,NA,NA,1,1,"Gongronella_sp","JF728246","SH3326293.08FU","reps",0.891428571428571,0.954285714285714,NA,NA
"ITSall_OTUa_5592","Fungi","Ascomycota","Eurotiomycetes","Eurotiales",NA,NA,NA,33,1,"Eurotiales_sp","UDB0620723","SH2721651.08FU","reps",0.889570552147239,0.975460122699387,NA,NA
"ITSall_OTUa_1656","Fungi","Basidiomycota","Microbotryomycetes","Microbotryomycetes_ord_Incertae_sedis","Microbotryomycetes_fam_Incertae_sedis","Curvibasidium",NA,4,0.8,"Curvibasidium_pallidicorallinum","KY102982","SH2579057.08FU","refs",0.990654205607477,1,NA,NA
"ITSall_OTUa_5220","Fungi","Ascomycota","Dothideomycetes","Capnodiales",NA,NA,NA,11,1,"Capnodiales_sp","KF800218","SH1238070.08FU","reps_singleton",0.964539007092199,0.985815602836879,NA,NA
"ITSall_OTUa_9675","Fungi","Basidiomycota","Tremellomycetes",NA,NA,NA,NA,7,0.875,"Tremellomycetes_sp","KY558340","SH1646692.08FU","reps",0.776859504132231,0.863636363636364,NA,NA
"ITSall_OTUa_3452","Fungi","Ascomycota",NA,NA,NA,NA,NA,2,1,"Dothideomycetes_sp","UDB0316944","SH2731027.08FU","reps",0.725925925925926,0.955555555555556,NA,NA
"ITSall_OTUa_6577","Fungi","Ascomycota","Dothideomycetes","Capnodiales",NA,NA,NA,3,1,"Capnodiales_sp","UDB0147534","SH1627184.08FU","reps",0.993006993006993,0.993006993006993,NA,NA
"ITSall_OTUa_1709","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,47,0.979166666666667,"Penicillium_citreonigrum","KC411700","SH2190116.08FU","refs",1,1,NA,NA
"ITSall_OTUa_9254","Fungi","Ascomycota",NA,NA,NA,NA,NA,9,0.642857142857143,"Botryosphaeriales_sp","MF860401","SH2593890.08FU","reps_singleton",0.979865771812081,0.993288590604027,NA,NA
"ITSall_OTUj_8371","Fungi","Ascomycota","Eurotiomycetes","Eurotiales",NA,NA,NA,1,1,"Eurotiales_sp","UDB0179593","SH2730133.08FU","reps",0.834319526627219,0.887573964497041,NA,NA
"ITSall_OTUb_7924","Fungi","Ascomycota","Sordariomycetes","Xylariales","Sporocadaceae","Neopestalotiopsis",NA,8,0.666666666666667,"Neopestalotiopsis_saprophytica","JX398982","SH2251730.08FU","refs",0.96875,1,NA,NA
"ITSall_OTUj_340","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA,2,1,"Venturia_sp","KF617709","SH1171008.08FU","reps_singleton",0.7625,0.86875,NA,NA
"ITSall_OTUa_1706","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Phialomyces","Phialomyces_macrosporus",1,1,"Phialomyces_sp","UDB0765336","SH2709047.08FU","reps",1,1,NA,NA
"ITSall_OTUa_1962","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA,2,1,"Sordariales_sp","KP866126","SH1570514.08FU","reps",0.926553672316384,1,NA,NA
"ITSall_OTUa_865","Fungi","Mucoromycota","Mucoromycotina_cls_Incertae_sedis","Mucoromycotina_ord_Incertae_sedis","Mucoromycotina_fam_Incertae_sedis","Bifiguratus","Bifiguratus_adelaidae",1,1,"Bifiguratus_adelaidae","HM123225","SH1648455.08FU","refs",0.99163179916318,1,NA,NA
"ITSall_OTUb_8094","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Phanerochaetaceae",NA,NA,3,0.75,"Agaricomycetes_sp","GQ851804","SH1191582.08FU","reps_singleton",0.97979797979798,0.994949494949495,NA,NA
"ITSall_OTUk_5615","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae",NA,NA,1,1,"Eurotiales_sp","AB986366","SH1564669.08FU","reps",0.946745562130177,0.976331360946746,NA,NA
"ITSall_OTUa_4727","Fungi","Basidiomycota","Pucciniomycetes",NA,NA,NA,NA,1,1,"Septobasidium_sp","MK307667","SH3353223.08FU","reps",0.783018867924528,0.929245283018868,NA,NA
"ITSall_OTUd_1173","Fungi","Ascomycota","Dothideomycetes","Patellariales",NA,NA,NA,4,0.8,"Patellariales_sp","MF976012","SH1169278.08FU","reps_singleton",0.965986394557823,1,NA,NA
"ITSall_OTUa_3856","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","Teratosphaeria","Teratosphaeria_mexicana",1,1,"Teratosphaeria_mexicana","MN162062","SH1645408.08FU","reps",0.986394557823129,1,NA,NA
"ITSall_OTUa_2673","Fungi","Ascomycota","Eurotiomycetes",NA,NA,NA,NA,1,1,"Eurotiomycetes_sp","FJ475738","SH1239949.08FU","reps_singleton",0.751633986928105,0.908496732026144,NA,NA
"ITSall_OTUa_952","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae",NA,NA,1,1,"Cryptococcus_sp","JF693334","SH1515943.08FU","reps",0.901639344262295,0.989071038251366,NA,NA
"ITSall_OTUa_7095","Fungi","Basidiomycota","Agaricomycetes","Russulales",NA,NA,NA,1,1,"Vararia_intricata","MH861417","SH2705429.08FU","reps",0.848958333333333,0.9375,NA,NA
"ITSall_OTUa_2498","Fungi","Ascomycota","Eurotiomycetes","Eurotiales",NA,NA,NA,1,1,"Eurotiales_sp","UDB0756294","SH1564665.08FU","reps",0.909638554216867,0.975903614457831,NA,NA
"ITSall_OTUa_7516","Fungi","Ascomycota","Sordariomycetes","Xylariales","Sporocadaceae","Allelochaeta",NA,3,1,"Xylariales_sp","MH822997","SH1552835.08FU","reps",0.993464052287582,1,NA,NA
"ITSall_OTUa_6847","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae",NA,NA,2,0.666666666666667,"Dothideales_sp","KJ406831","SH1515095.08FU","reps",0.951807228915663,0.969879518072289,NA,NA
"ITSall_OTUa_1593","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA,9,0.6,"Tremellodendropsidales_sp","UDB0288380","SH1572969.08FU","reps",0.962790697674419,0.995348837209302,NA,NA
"ITSall_OTUg_169","Fungi","Ascomycota","Eurotiomycetes","Phaeomoniellales","Phaeomoniellaceae",NA,NA,4,1,"Neophaeomoniella_niveniae","KF742578","SH1573812.08FU","reps",0.993827160493827,1,NA,NA
"ITSall_OTUa_5566","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Harknessiaceae","Harknessia",NA,23,0.92,"Harknessia_pseudohawaiiensis","JQ706109","SH1553805.08FU","refs",1,1,NA,NA
"ITSall_OTUa_1297","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Cylindrium",NA,1,1,"Hypocreales_sp","MK876385","SH2711074.08FU","reps",0.993333333333333,0.993333333333333,NA,NA
"ITSall_OTUj_4962","Fungi","Ascomycota","Eurotiomycetes","Eurotiales",NA,NA,NA,1,1,"Eurotiales_sp","UDB0179593","SH2730133.08FU","reps",0.828402366863905,0.887573964497041,NA,NA
"ITSall_OTUa_998","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales_fam_Incertae_sedis",NA,NA,1,1,"Sordariomycetes_sp","EF619915","SH1585537.08FU","reps",0.970930232558139,1,NA,NA
"ITSall_OTUb_6268","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae",NA,NA,5,0.833333333333333,"Teratosphaeriaceae_sp","KJ406774","SH2589065.08FU","reps_singleton",0.972222222222222,1,NA,NA
"ITSall_OTUa_2709","Fungi","Ascomycota","Dothideomycetes","Capnodiales",NA,NA,NA,5,0.833333333333333,"Pseudoramichloridium_henryi","KF442521","SH1641285.08FU","refs",0.862068965517241,0.944827586206897,NA,NA
"ITSall_OTUa_5030","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Chaetothyriales_fam_Incertae_sedis","Neophaeococcomyces",NA,4,1,"Neophaeococcomyces_sp","KF928484","SH1506899.08FU","reps",0.994897959183674,1,NA,NA
"ITSall_OTUd_8551","Fungi","Ascomycota","Dothideomycetes","Mytilinidales","Gloniaceae",NA,NA,20,1,"Gloniaceae_sp","AF461606","SH1639595.08FU","reps",0.993103448275862,1,NA,NA
"ITSall_OTUa_173","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus_parvulus",8,0.666666666666667,"Aspergillus_sp","UDB0766686","SH1537341.08FU","reps",1,1,NA,NA
"ITSall_OTUa_2610","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA,2,1,"Eurotiomycetes_sp","UDB0680316","SH1507106.08FU","reps",1,1,NA,NA
"ITSall_OTUh_545","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",NA,41,0.976190476190476,"Aspergillus_wyomingensis","HG324081","SH2190226.08FU","refs",0.993939393939394,1,NA,NA
"ITSall_OTUa_2446","Fungi","Basidiomycota","Tremellomycetes",NA,NA,NA,NA,2,1,"Piskurozyma_sp","MT470199","SH3566333.08FU","reps_singleton",0.697674418604651,0.883720930232558,NA,NA
"ITSall_OTUa_1596","Fungi","Ascomycota","Sordariomycetes","Xylariales","Sporocadaceae","Neopestalotiopsis",NA,9,0.642857142857143,"Neopestalotiopsis_javaensis","KM199357","SH2251710.08FU","refs",1,1,NA,NA
"ITSall_OTUa_1916","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,15,1,"Penicillium_decaturense","GU944604","SH2189991.08FU","refs",1,1,NA,NA
"ITSall_OTUj_13690","Fungi","Ascomycota","Eurotiomycetes",NA,NA,NA,NA,2,1,"Chaetothyriales_sp","UDB061159","SH2722265.08FU","reps",0.818181818181818,0.957575757575758,NA,NA
"ITSall_OTUj_4466","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae",NA,NA,3,1,"Catenulostroma_protearum","GU214627","SH1521491.08FU","reps",0.941558441558442,0.961038961038961,NA,NA
"ITSall_OTUa_4290","Fungi","Basidiomycota","Cystobasidiomycetes","Erythrobasidiales","Erythrobasidiaceae","Erythrobasidium","Erythrobasidium_yunnanense",1,1,"Erythrobasidium_yunnanense","KY103394","SH2044312.08FU","refs",0.986607142857143,0.991071428571429,NA,NA
"ITSall_OTUj_23644","Fungi","Ascomycota","Eurotiomycetes","Eurotiales",NA,NA,NA,1,1,"Eurotiales_sp","UDB0756294","SH1564665.08FU","reps",0.887573964497041,0.958579881656805,NA,NA
"ITSall_OTUa_2637","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleraceae",NA,NA,1,1,"Bullera_sp","DQ294954","SH2588035.08FU","reps_singleton",0.940860215053763,0.989247311827957,NA,NA
"ITSall_OTUj_18054","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA,11,0.916666666666667,"Fungi_sp","MF976562","SH1231672.08FU","reps_singleton",0.963855421686747,1,NA,NA
"ITSall_OTUa_1917","Fungi","Ascomycota","Eurotiomycetes","Eurotiales",NA,NA,NA,3,1,"Eurotiales_sp","MF942903","SH1564666.08FU","reps",0.946107784431138,1,NA,NA
"ITSall_OTUa_4568","Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiomycetes_ord_Incertae_sedis","Symmetrosporaceae","Symmetrospora",NA,2,1,"Symmetrospora_marina","AF444504","SH1613464.08FU","refs",0.980487804878049,1,NA,NA
"ITSall_OTUa_6486","Fungi","Basidiomycota",NA,NA,NA,NA,NA,6,1,"Microsporomyces_pini","JN882335","SH1559869.08FU","refs",0.702702702702703,0.864864864864865,NA,NA
"ITSall_OTUa_992","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,47,0.979166666666667,"Penicillium_marinum","KJ834512","SH2196154.08FU","refs_singleton",1,1,NA,NA
"ITSall_OTUa_1147","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Shiraiaceae",NA,NA,1,1,"Shiraiaceae_sp","JX243891","SH1546733.08FU","reps",0.948387096774194,1,NA,NA
