"","site","Long","Lat","precip_Jan","precip_Feb","precip_Mar","precip_Apr","precip_May","precip_Jun","precip_Jul","precip_Aug","precip_Sep","precip_Oct","precip_Nov","precip_Dec","Annual_Temp","Annual_Prec","Tavg_Jan","Tavg_Feb","Tavg_Mar","Tavg_Apr","Tavg_May","Tavg_Jun","Tavg_Jul","Tavg_Aug","Tavg_Sep","Tavg_Oct","Tavg_Nov","Tavg_Dec","wc2.1_30s_elev"
"11","ABS011",150.35631,-33.51962,162,150,148,99,98,75,57,76,73,90,102,100,12.4458332061768,9.92500019073486,18.2000007629395,17.8999996185303,16.1000003814697,12.8999996185303,9.89999961853027,7.19999980926514,6.09999990463257,7.19999980926514,9.60000038146973,12.5,14.5,17.1000003814697,880
"12","ABS012",150.56587,-33.52589,176,170,149,91,95,69,49,50,66,87,108,110,14.7541666030884,10.7916669845581,20.2000007629395,20,18.2999992370605,15.3000001907349,12.3999996185303,9.69999980926514,8.80000019073486,9.69999980926514,12.1999998092651,14.8000001907349,16.6000003814697,19.1000003814697,470
"13","ABS014",150.69846,-33.18755,125,121,114,71,73,60,37,53,57,82,82,89,15.7250003814697,11.4333333969116,21.3999996185303,21,19.2999992370605,16.2000007629395,13.3000001907349,10.3999996185303,9.5,10.5,13.1000003814697,15.8000001907349,17.7999992370605,20.3999996185303,362
"14","ABS015",150.64734,-33.25736,138,135,129,78,81,64,42,55,62,85,89,95,15.2291669845581,11.0083332061768,20.7999992370605,20.5,18.7999992370605,15.6999998092651,12.8000001907349,10.1000003814697,9.10000038146973,10.1000003814697,12.6000003814697,15.1999998092651,17.2000007629395,19.7999992370605,454
"15","ABS016",150.69952,-33.307,122,129,124,75,74,59,40,53,58,80,85,88,15.7791662216187,11.375,21.2999992370605,21,19.3999996185303,16.2999992370605,13.3999996185303,10.6000003814697,9.60000038146973,10.6999998092651,13.1999998092651,15.8999996185303,17.7999992370605,20.2999992370605,328
"16","ABS017",150.69626,-33.05597,123,108,99,66,69,59,34,52,53,80,76,88,15.9833335876465,11.6499996185303,21.7999992370605,21.3999996185303,19.7000007629395,16.3999996185303,13.3000001907349,10.5,9.5,10.6999998092651,13.3000001907349,16.1000003814697,18.2000007629395,20.8999996185303,343
"17","ABS018",150.69743,-33.07282,123,108,101,64,69,59,34,53,53,81,76,88,15.9541664123535,11.6583337783813,21.7999992370605,21.2999992370605,19.6000003814697,16.3999996185303,13.3000001907349,10.5,9.5,10.6999998092651,13.3000001907349,16,18.1000003814697,20.8999996185303,335
"18","ABS019",150.61407,-32.71216,126,101,94,64,74,61,52,58,63,83,82,89,14.3666667938232,10.0833330154419,20.2999992370605,19.8999996185303,18.1000003814697,14.8000001907349,11.6999998092651,9,8,8.89999961853027,11.5,14.3000001907349,16.5,19.2999992370605,662
"19","ABS020",150.69116,-33.19051,124,119,113,70,73,60,37,52,56,81,82,88,15.7333335876465,11.5666666030884,21.3999996185303,21,19.3999996185303,16.2000007629395,13.3000001907349,10.3999996185303,9.5,10.5,13.1000003814697,15.8000001907349,17.7999992370605,20.5,352
"20","ABS021",150.69768,-33.19302,127,123,116,71,75,61,38,53,57,83,83,90,15.6625003814697,11.375,21.2999992370605,20.8999996185303,19.2999992370605,16.1000003814697,13.1999998092651,10.3999996185303,9.39999961853027,10.5,13,15.6999998092651,17.7000007629395,20.2999992370605,378
"21","ABS022",150.7256,-32.71764,125,98,87,62,68,58,43,52,55,80,76,88,15.4541664123535,10.7749996185303,21.3999996185303,20.8999996185303,19.1000003814697,15.8000001907349,12.8000001907349,10.1000003814697,9.10000038146973,10,12.6999998092651,15.5,17.7000007629395,20.3999996185303,462
"22","ABS023",150.77202,-32.92456,126,98,81,57,63,58,30,51,45,81,70,91,16.3583335876465,11.9499998092651,22.2999992370605,21.8999996185303,20.1000003814697,16.7000007629395,13.5,10.8000001907349,9.69999980926514,11,13.6999998092651,16.6000003814697,18.7000007629395,21.3999996185303,247
"23","ABS024",150.68922,-33.16438,121,115,108,67,71,59,35,52,55,80,79,87,15.8041667938232,11.7583332061768,21.5,21.1000003814697,19.3999996185303,16.2000007629395,13.3000001907349,10.5,9.5,10.6000003814697,13.1000003814697,15.8999996185303,18,20.6000003814697,333
"24","ABS025",150.76163,-33.36957,120,126,124,75,73,58,40,53,56,75,87,84,16.2583332061768,11.2333326339722,21.6000003814697,21.3999996185303,19.7999992370605,16.7999992370605,13.8999996185303,11.1999998092651,10.1000003814697,11.3000001907349,13.6999998092651,16.3999996185303,18.2000007629395,20.7000007629395,243
"25","ABS026",150.50014,-33.4982,184,172,167,102,108,74,54,67,71,93,113,113,14.0874996185303,10.5083332061768,19.6000003814697,19.3999996185303,17.7000007629395,14.6000003814697,11.6999998092651,9,8,9,11.3999996185303,14.1000003814697,16,18.5,595
"26","ABS027",150.55676,-33.55193,159,154,136,84,84,63,45,49,60,79,101,102,15.1708335876465,10.9750003814697,20.6000003814697,20.3999996185303,18.7000007629395,15.6999998092651,12.8000001907349,10.1000003814697,9.10000038146973,10.1000003814697,12.6000003814697,15.1999998092651,17,19.5,377
"27","ABS028",150.57394,-33.53172,175,170,148,91,94,69,49,49,65,86,107,110,14.8083333969116,10.8000001907349,20.2000007629395,20,18.2999992370605,15.3999996185303,12.5,9.80000019073486,8.80000019073486,9.80000019073486,12.1999998092651,14.8000001907349,16.6000003814697,19.2000007629395,462
"28","ABS029",151.07002,-34.08446,123,121,143,118,103,119,69,83,64,83,100,82,16.5833339691162,8.53333282470703,21.1000003814697,21.2999992370605,19.8999996185303,17.5,14.8000001907349,12.1000003814697,11.1999998092651,12.1000003814697,14.1999998092651,16.5,17.8999996185303,20.2999992370605,129
"29","ABS030",150.689,-33.14184,123,114,107,68,71,59,36,52,55,81,79,88,15.7583332061768,11.7166662216187,21.5,21.1000003814697,19.3999996185303,16.2000007629395,13.1999998092651,10.3999996185303,9.39999961853027,10.5,13.1000003814697,15.8999996185303,17.8999996185303,20.6000003814697,348
"30","ABS031",150.69537,-33.1823,125,119,113,70,73,60,37,53,56,82,81,89,15.7333335876465,11.5166664123535,21.3999996185303,21,19.3999996185303,16.2000007629395,13.1999998092651,10.3999996185303,9.5,10.5,13.1000003814697,15.8000001907349,17.7999992370605,20.5,358
"31","ABS032",150.2388,-33.25535,123,109,102,70,77,60,62,78,72,83,87,83,12.0708332061768,9.92500019073486,18.1000003814697,17.7999992370605,15.8999996185303,12.5,9.39999961853027,6.59999990463257,5.59999990463257,6.69999980926514,9.10000038146973,12,14.1999998092651,16.8999996185303,993
"32","ABS033",150.25543,-33.30453,130,115,112,75,82,64,64,80,74,88,91,87,11.7291669845581,9.97500038146973,17.7000007629395,17.3999996185303,15.6000003814697,12.1999998092651,9,6.30000019073486,5.30000019073486,6.30000019073486,8.80000019073486,11.6999998092651,13.8999996185303,16.5,1032
"33","ABS034",150.59972,-33.44346,168,165,149,89,93,69,49,52,66,88,104,108,14.845832824707,10.4749994277954,20.2000007629395,20,18.3999996185303,15.3999996185303,12.6000003814697,9.89999961853027,8.89999961853027,9.80000019073486,12.1999998092651,14.8000001907349,16.6000003814697,19.2000007629395,479
"34","ABS035",150.49756,-34.9172,99,121,126,103,88,110,52,74,71,89,94,76,16.1166667938232,9.26666641235352,20.7999992370605,21,19.5,16.7999992370605,14.1999998092651,11.6000003814697,10.6999998092651,11.8000001907349,13.6999998092651,16,17.5,19.7999992370605,136
"35","ABS036",150.39751,-33.51282,170,158,161,104,103,78,59,77,75,94,107,104,12.5166664123535,9.56666660308838,18.2000007629395,18,16.2000007629395,13,10,7.30000019073486,6.40000009536743,7.30000019073486,9.69999980926514,12.5,14.5,17.1000003814697,876
"36","ABS037",150.54413,-34.34285,99,124,108,95,75,77,46,69,57,82,99,79,14.2916669845581,9.83333301544189,19.5,19.3999996185303,17.7999992370605,14.8999996185303,12.1000003814697,9.5,8.39999961853027,9.39999961853027,11.6999998092651,14.1999998092651,15.8999996185303,18.2999992370605,485
"37","ABS038",150.50786,-34.35266,102,121,117,97,82,83,49,68,59,81,97,80,13.654167175293,9.89166641235352,19,19,17.2000007629395,14.3000001907349,11.3999996185303,8.80000019073486,7.69999980926514,8.69999980926514,11,13.6000003814697,15.3999996185303,17.7999992370605,604
"38","ABS039",150.47408,-34.3594,101,116,115,94,82,83,48,66,58,79,94,80,13.4125003814697,9.875,18.7999992370605,18.7999992370605,17,14,11.1000003814697,8.39999961853027,7.40000009536743,8.5,10.8000001907349,13.3999996185303,15.1999998092651,17.7000007629395,649
"39","ABS040",150.46942,-34.35747,102,116,116,94,83,82,49,65,59,79,94,80,13.404167175293,9.84166622161865,18.7999992370605,18.7999992370605,17,14,11.1000003814697,8.39999961853027,7.40000009536743,8.39999961853027,10.6999998092651,13.3000001907349,15.1000003814697,17.6000003814697,656
"40","ABS041",151.06561,-33.35354,128,131,131,85,86,74,46,56,58,75,92,84,16.4541664123535,9.92500019073486,21.6000003814697,21.3999996185303,19.8999996185303,17.1000003814697,14.3000001907349,11.5,10.5,11.6000003814697,14,16.5,18.2999992370605,20.7000007629395,206
"41","ABS042",151.50116,-32.83299,92,97,105,75,65,62,43,36,48,63,73,72,17.8166675567627,11.2333335876465,23.2999992370605,23,21.2999992370605,18.5,15.3000001907349,12.5,11.3999996185303,12.6999998092651,15.3000001907349,18,19.8999996185303,22.3999996185303,33
"42","ABS043",151.50436,-32.83482,93,98,106,75,65,63,43,36,48,63,74,72,17.7749996185303,11.0833330154419,23.2000007629395,23,21.2999992370605,18.3999996185303,15.3000001907349,12.3999996185303,11.3999996185303,12.6999998092651,15.3000001907349,18,19.8999996185303,22.3999996185303,36
"43","ABS044",150.76682,-32.89966,127,96,79,58,63,58,30,50,45,81,70,92,16.3624992370605,11.9749994277954,22.2999992370605,21.8999996185303,20.1000003814697,16.7000007629395,13.5,10.6999998092651,9.60000038146973,10.8999996185303,13.6999998092651,16.6000003814697,18.7999992370605,21.5,250
"44","ABS045",150.3009,-34.67128,106,104,122,91,90,105,56,82,74,82,92,73,13.3500003814697,10.2166662216187,18.8999996185303,18.8999996185303,17,13.8999996185303,10.8999996185303,8.19999980926514,7.30000019073486,8.39999961853027,10.6999998092651,13.1999998092651,15.1000003814697,17.7000007629395,622
"45","ABS046",150.39543,-34.77435,103,117,123,98,89,109,53,82,71,88,97,76,15.3333330154419,9.19999980926514,20.2999992370605,20.5,18.7999992370605,15.8999996185303,13.1999998092651,10.6000003814697,9.60000038146973,10.6999998092651,12.8999996185303,15.1999998092651,16.8999996185303,19.2999992370605,260
"46","ABS047",150.39343,-35.09507,101,110,127,100,93,114,58,76,74,92,99,77,14.6208333969116,9.10833358764648,19.3999996185303,19.6000003814697,18.1000003814697,15.3000001907349,12.8000001907349,10.1999998092651,9.30000019073486,10.1000003814697,12,14.3000001907349,15.8999996185303,18.2999992370605,414
"47","ABS048",151.06932,-33.33224,128,129,132,86,86,73,45,56,58,76,92,84,16.4375,9.92500019073486,21.6000003814697,21.3999996185303,19.8999996185303,17.1000003814697,14.1999998092651,11.3999996185303,10.5,11.6000003814697,14,16.5,18.2999992370605,20.7000007629395,211
"48","ABS049",150.67812,-33.26627,121,124,118,72,73,58,38,53,57,79,83,87,15.8374996185303,11.4250001907349,21.3999996185303,21.1000003814697,19.5,16.2999992370605,13.5,10.6000003814697,9.69999980926514,10.6999998092651,13.1999998092651,15.8999996185303,17.7999992370605,20.3999996185303,324
"49","ABS050",150.40016,-35.09644,101,111,128,100,93,115,58,76,74,92,100,77,14.7291669845581,9.04166698455811,19.5,19.7000007629395,18.2000007629395,15.3999996185303,12.8999996185303,10.3999996185303,9.39999961853027,10.3000001907349,12.1999998092651,14.3999996185303,16,18.3999996185303,397
"50","ABS051",150.49948,-34.99328,98,119,129,105,91,113,55,74,73,89,96,77,15.783332824707,9.08333301544189,20.3999996185303,20.6000003814697,19.2000007629395,16.5,13.8999996185303,11.3999996185303,10.5,11.5,13.3999996185303,15.6000003814697,17.1000003814697,19.3999996185303,176
"51","ABS052",150.39847,-34.91397,96,115,119,96,82,103,49,72,68,84,94,74,15.8125,9.32499980926514,20.7000007629395,20.7999992370605,19.2000007629395,16.3999996185303,13.6999998092651,11.1999998092651,10.3000001907349,11.3000001907349,13.3999996185303,15.6999998092651,17.2999992370605,19.6000003814697,150
"52","ABS053",150.41679,-34.84681,98,117,120,95,83,103,49,72,68,85,93,75,16.408332824707,9.16666698455811,21.2000007629395,21.2999992370605,19.7999992370605,17,14.3000001907349,11.8000001907349,10.8999996185303,12,14.1000003814697,16.2999992370605,17.8999996185303,20.2000007629395,48
"53","ABS054",150.37033,-33.49452,164,152,154,102,100,77,60,79,75,92,104,102,12.3458337783813,9.74166679382324,18.1000003814697,17.7999992370605,16,12.8999996185303,9.80000019073486,7.09999990463257,6.09999990463257,7.09999990463257,9.5,12.3999996185303,14.3999996185303,17,916
"54","ABS055",150.6942,-33.20675,127,124,117,72,75,61,38,53,57,82,84,90,15.6791667938232,11.3083333969116,21.2999992370605,20.8999996185303,19.2999992370605,16.1000003814697,13.1999998092651,10.3999996185303,9.5,10.5,13,15.6999998092651,17.7000007629395,20.2999992370605,374
"55","ABS056",150.90987,-32.79934,124,100,86,62,67,58,36,47,48,79,76,91,16.220832824707,11.2083330154419,22,21.6000003814697,19.8999996185303,16.7000007629395,13.6000003814697,10.8000001907349,9.80000019073486,10.8999996185303,13.5,16.2999992370605,18.3999996185303,21.1000003814697,311
"56","ABS057",150.7211,-33.07411,124,109,100,65,69,60,34,52,53,81,76,88,16.0083332061768,11.5166664123535,21.7999992370605,21.3999996185303,19.7000007629395,16.3999996185303,13.3999996185303,10.6000003814697,9.60000038146973,10.6999998092651,13.3000001907349,16.1000003814697,18.2000007629395,20.8999996185303,336
"57","ABS058",150.72148,-33.20185,123,120,113,70,73,60,37,52,55,80,82,88,15.8916664123535,11.2666664123535,21.5,21.1000003814697,19.5,16.3999996185303,13.5,10.6999998092651,9.69999980926514,10.6999998092651,13.1999998092651,15.8999996185303,17.8999996185303,20.5,331
"58","ABS059",150.84135,-33.38217,120,122,118,75,73,59,39,53,54,73,87,81,16.5583343505859,10.9833335876465,21.7999992370605,21.6000003814697,20.1000003814697,17.1000003814697,14.3000001907349,11.5,10.5,11.6000003814697,14.1000003814697,16.6000003814697,18.5,20.8999996185303,190
"59","ABS060",150.50943,-34.31476,94,120,95,88,66,68,42,62,52,75,94,77,14.3958330154419,9.85833358764648,19.6000003814697,19.6000003814697,17.8999996185303,15,12.1999998092651,9.60000038146973,8.5,9.60000038146973,11.8999996185303,14.3999996185303,16.1000003814697,18.5,451
"60","ABS061",151.50082,-32.84529,94,99,108,76,66,64,44,37,48,64,74,72,17.7291660308838,10.9583330154419,23.2000007629395,22.8999996185303,21.2000007629395,18.3999996185303,15.3000001907349,12.3999996185303,11.3999996185303,12.6999998092651,15.1999998092651,17.8999996185303,19.7999992370605,22.2999992370605,37
"61","ABS062",150.70393,-33.18133,125,120,114,70,73,60,37,53,56,81,82,89,15.7666664123535,11.4499998092651,21.3999996185303,21.1000003814697,19.3999996185303,16.2000007629395,13.3000001907349,10.5,9.5,10.6000003814697,13.1000003814697,15.8000001907349,17.8999996185303,20.5,357
"62","ABS063",150.69408,-33.20511,127,124,117,72,75,61,38,53,57,82,84,90,15.6791667938232,11.3083333969116,21.2999992370605,20.8999996185303,19.2999992370605,16.1000003814697,13.1999998092651,10.3999996185303,9.5,10.5,13,15.6999998092651,17.7000007629395,20.2999992370605,374
